Date,Open,High,Low,Close
07/10/2023,1869.18,1904.53,1848.85,1891.95
07/09/2023,1848.83,1878.9,1846.72,1869.41
07/08/2023,1865.99,1871.82,1844.22,1848.98
07/07/2023,1883.21,1886.37,1827.29,1865.67
07/06/2023,1910.07,1955.37,1866.79,1883.21
07/05/2023,1941.91,1942.07,1894.77,1910.07
07/04/2023,1958.04,1965.93,1931.79,1941.9
07/03/2023,1918.46,1974.98,1915.37,1959.62
07/02/2023,1923.46,1927.35,1893.76,1918.45
07/01/2023,1927.83,1944.09,1909.52,1923.46
06/30/2023,1849.91,1945.61,1826.44,1927.83
06/29/2023,1831.27,1877.99,1826.44,1849.91
06/28/2023,1891.64,1897.41,1823.99,1831.27
06/27/2023,1851.12,1911.56,1846.81,1891.64
06/26/2023,1893.59,1906.41,1840.81,1852.34
06/25/2023,1877.52,1929.19,1866.11,1893.4
06/24/2023,1907.06,1907.06,1868.22,1876.83
06/23/2023,1888.03,1933,1866.43,1907.34
06/22/2023,1879.14,1929.47,1867.39,1888.03
06/21/2023,1784.81,1897.2,1775.52,1877.35
06/20/2023,1731.73,1789.46,1715,1787.3
06/19/2023,1729.88,1746.71,1704.83,1730.08
06/18/2023,1728.19,1747.69,1720.1,1729.94
06/17/2023,1725.65,1759.9,1713.8,1728.16
06/16/2023,1668.99,1726,1651.31,1725.64
06/15/2023,1635.72,1670.2,1623.44,1668.06
06/14/2023,1737.58,1749.72,1635.44,1639.49
06/13/2023,1738.81,1765.89,1726.12,1737.99
06/12/2023,1770.53,1771.6,1722.16,1739.1
06/11/2023,1743.97,1775.77,1740.29,1770.55
06/10/2023,1836.08,1844.4,1719.63,1744.18
06/09/2023,1853.42,1854.61,1828.33,1835.97
06/08/2023,1841.54,1861.27,1821.42,1853.42
06/07/2023,1876.99,1894.95,1833.42,1841.52
06/06/2023,1804.97,1896,1796.9,1876.99
06/05/2023,1903.7,1911.87,1783.9,1804.84
06/04/2023,1888.01,1910.92,1884.92,1904.47
06/03/2023,1905.3,1909.9,1885.21,1888.02
06/02/2023,1869.22,1910.28,1851.85,1905.58
06/01/2023,1865.89,1888.2,1842.92,1869
05/31/2023,1904.12,1913.71,1848.89,1865.88
05/30/2023,1892.86,1916.32,1883.13,1904.12
05/29/2023,1854.7,1926.74,1854.69,1893.48
05/28/2023,1828.04,1860.12,1825.21,1854.69
05/27/2023,1835.35,1836.33,1818,1827.72
05/26/2023,1810,1838.2,1797.75,1835.42
05/25/2023,1804.27,1815.67,1763.42,1809.86
05/24/2023,1854.85,1856.4,1778.31,1804.97
